gvkey,fyear,Hole_opening,Hole_closing,Non_hole
1078,2014,-0.5611824,-0.8388399,-0.5622781
1078,2015,-0.2052986,-0.6122141,-0.5503471
1078,2016,-0.5399629,-0.8417785,-0.6178077
1078,2017,-0.3594746,-0.8152616,-0.5917007
1078,2018,-0.5511823,-0.8375808,-0.6488599
1082,1997,-0.5187619,-0.6660169,-0.5273059
1082,1998,-0.1105886,-0.6057534,-0.5013252
1082,2000,-0.3040159,-0.7207975,-0.4545104
1082,2001,-0.5940705,-0.7504043,-0.4985271
1082,2002,-0.3421373,-0.6662595,-0.4977367
1082,2003,-0.5419827,-0.7893056,-0.5075276
1082,2004,-0.5652413,-0.7670857,-0.4940975
1082,2005,-0.4611853,-0.7147136,-0.5113877
1082,2006,-0.5411915,-0.794641,-0.5069517
1082,2007,-0.5176774,-0.7807658,-0.4949582
1082,2008,-0.5272014,-0.7346129,-0.4844692
1082,2009,-0.5851184,-0.8372163,-0.5035836
1082,2010,-0.5251454,-0.8619456,-0.5055187
1084,1997,-0.4507166,-0.6583673,-0.5235152
1084,2008,0.2605261,-0.5043206,-0.452321
1084,2009,-0.5502517,-0.5891357,-0.47719
1084,2010,-0.2880595,-0.3765611,-0.4768273
1084,2011,-0.3722813,-0.7763,-0.5045585
1084,2012,-0.5353873,-0.7694792,-0.5068395
1084,2013,-0.5631201,-0.7638522,-0.5235236
1084,2014,-0.5749487,-0.8761343,-0.5824441
1084,2015,-0.3981896,-0.7809965,-0.616924
1084,2016,-0.451757,-0.6619834,-0.6104322
1084,2017,-0.2651534,-0.7407995,-0.639591
1084,2018,-0.5581011,-0.9196798,-0.6783156
1084,2019,-0.0242587,-0.7719061,-0.6602999
1084,2020,-0.563803,-0.8835241,-0.6993062
1086,1996,-0.4773133,-0.4797014,-0.4121755
1094,1997,-0.5288922,-0.6672833,-0.5275289
1094,1998,-0.5465562,-0.6808175,-0.5099209
1094,1999,-0.6067507,-0.687335,-0.4570263
1094,2000,-0.6161345,-0.7710284,-0.4586926
1094,2001,-0.5658838,-0.7316496,-0.5036402
1094,2007,0.6945364,-0.7915572,-0.4922002
1094,2008,-0.2503375,-0.6310734,-0.4831516
1094,2009,-0.4135444,-0.7065879,-0.5007814
1094,2010,-0.4195415,-0.7846031,-0.5056752
1094,2011,0.1907854,-0.6672992,-0.5037614
1094,2012,2.724997,0.237826,-0.479428
1094,2013,1.217831,0.2310738,-0.4966599
1094,2014,1.623629,0.0182608,-0.5532275
1094,2015,-0.2127682,-0.2314392,-0.6021981
1094,2016,0.4803174,-0.296488,-0.6092185
1094,2017,0.5269411,-0.23288,-0.6214551
1094,2018,-0.2269902,-0.5323697,-0.6598232
1095,1996,-0.4167558,-0.2816697,-0.3910297
1095,1997,-0.5029274,-0.6377585,-0.4744585
1095,1998,-0.2104182,-0.6353446,-0.4555288
1095,1999,0.5312195,-0.0370658,-0.3450322
1095,2000,-0.5706428,-0.6004767,-0.4074111
1095,2001,-0.4484229,-0.357313,-0.4241039
1097,1996,0.2747226,-0.4030091,-0.3496194
1097,1997,0.3017829,0.0239956,-0.4207191
1097,1998,1.267015,0.3268121,-0.4112824
1097,1999,2.957324,1.438046,-0.3008828
1097,2000,-0.1014547,1.322449,-0.323469
1097,2001,0.2589409,0.2593142,-0.3627473
1097,2002,1.757574,0.4457038,-0.3806995
1097,2003,-0.2669626,0.2134839,-0.4436227
1104,1996,0.2213312,-0.3275523,-0.3857433
1104,1997,-0.4983136,-0.614075,-0.5139268
1104,1998,-0.2158005,-0.4815358,-0.4614471
1104,1999,0.8498624,-0.1612267,-0.3184308
1104,2000,1.445673,0.3557177,-0.3174945
1104,2001,-0.3598005,-0.6147754,-0.4414882
1104,2002,-0.2630263,-0.717975,-0.5108424
1104,2003,-0.5399619,-0.7192198,-0.509113
1104,2005,-0.5348115,-0.8015594,-0.5170431
1104,2006,-0.2912579,-0.721378,-0.5031119
1104,2007,-0.2936602,-0.7331008,-0.492939
1104,2008,-0.536402,-0.7809337,-0.4880705
1104,2009,-0.5837814,-0.8220234,-0.5020689
1104,2010,-0.5497517,-0.83867,-0.5049707
1104,2011,-0.5051709,-0.7908858,-0.5030441
1104,2012,-0.5122043,-0.7658484,-0.5052199
1104,2013,-0.4638464,-0.7912983,-0.5243829
1104,2014,-0.4792251,-0.8079991,-0.5692198
1104,2015,-0.5442969,-0.8364668,-0.6151942
1104,2016,-0.5570907,-0.7809822,-0.6141667
1104,2017,-0.2262431,-0.7587323,-0.6238638
1104,2018,-0.5590533,-0.7883125,-0.6508852
1104,2019,-0.5495206,-0.8719277,-0.6596811
1104,2020,-0.5855556,-0.8416177,-0.683057
1108,1996,-0.4072503,0.1532001,-0.2949929
1108,1997,-0.5384985,-0.6587412,-0.5050074
1109,2008,0.3642888,0.2301945,-0.2914483
1111,1998,1.066112,0.4659664,-0.3994457
1111,1999,1.492314,0.9192425,-0.3736454
1111,2000,0.1370326,0.1595713,-0.40064
1111,2001,-0.0807561,-0.5314174,-0.4559184
1111,2002,-0.5325409,-0.2089106,-0.4172736
1111,2003,-0.568014,-0.5465366,-0.4780078
1111,2004,-0.54694,-0.6886217,-0.4707488
1111,2005,-0.5355539,-0.6085228,-0.4794178
1111,2006,-0.2838562,-0.5341924,-0.4752733
1111,2007,-0.5501196,-0.747307,-0.4749133
1115,1996,-0.0262647,-0.4084011,-0.3760515
1115,1997,3.344249,0.8535216,-0.3495869
1115,1998,-0.492044,-0.2458932,-0.439183
1115,1999,-0.5209135,-0.3235913,-0.3805752
1117,1997,-0.5384985,-0.6672833,-0.5275289
1117,2002,-0.3872562,-0.5419514,-0.4352559
1117,2003,-0.5470634,-0.7597952,-0.4965397
1117,2004,-0.5609529,-0.7740237,-0.4822831
1117,2005,-0.4062227,-0.6725834,-0.505617
1117,2006,-0.4641165,-0.642795,-0.4862845
1117,2007,-0.3521488,-0.5037397,-0.4749133
1117,2008,-0.0479523,-0.4672494,-0.4641789
1117,2009,-0.5825363,-0.7940628,-0.4858238
1117,2010,-0.5723789,-0.692818,-0.4804284
1117,2011,-0.593098,-0.8269966,-0.5056345
1117,2012,-0.4701924,-0.7853878,-0.5102001
1117,2013,-0.4896491,-0.7745965,-0.5233427
1117,2014,-0.4548528,-0.5728458,-0.5408379
1117,2015,-0.5642931,-0.8811614,-0.6117789
1117,2016,-0.1618186,-0.640943,-0.5853181
1117,2017,0.3486153,-0.3492196,-0.5258159
1117,2018,-0.3564249,-0.5064151,-0.5874826
1117,2019,-0.5259112,-0.5094252,-0.5801752
1117,2020,-0.5083464,-0.4724866,-0.5726505
1148,1996,0.257402,2.137166,0.3596439
1148,1997,-0.3514879,-0.2903733,-0.4106848
1148,1998,-0.3451363,-0.0971499,-0.3015118
1148,1999,-0.4995563,-0.0815587,-0.3017769
1148,2000,-0.0225651,0.8198621,-0.2420162
1154,1997,-0.5285336,-0.6672833,-0.5275289
